                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                0.74761,                0.40185,                 1.0117,                0.95199,                0.93634,                0.96935,                0.69709,                 1.0846,                0.49873,                 1.2194,               0.001882,               0.001882,               0.001882
                     84,                0.72981,                0.38908,                 1.0084,                0.94387,                0.93677,                0.96779,                0.70716,                 1.0672,                 0.5027,                 1.2359,               0.001783,               0.001783,               0.001783
                     85,                0.75406,                0.39885,                 1.0222,                0.95169,                0.94058,                0.96852,                0.70367,                 1.0629,                0.49682,                 1.2296,               0.001684,               0.001684,               0.001684
                     86,                0.73197,                0.38359,                 1.0074,                0.94931,                0.94375,                0.97434,                0.70749,                 1.0706,                0.47013,                 1.2259,               0.001585,               0.001585,               0.001585
                     87,                0.72495,                0.38372,                 1.0082,                0.95448,                0.94562,                0.97922,                0.71514,                 1.0768,                0.46472,                 1.2363,               0.001486,               0.001486,               0.001486
                     88,                0.72717,                0.38976,                 1.0071,                0.95173,                0.95225,                0.97145,                0.70693,                 1.0699,                0.48323,                 1.2404,               0.001387,               0.001387,               0.001387
                     89,                0.70144,                0.37849,                 1.0047,                0.94704,                0.94861,                0.97491,                0.71324,                 1.0937,                0.47532,                 1.2545,               0.001288,               0.001288,               0.001288
                     90,                0.66306,                0.32459,                0.96975,                0.94746,                0.95669,                0.97422,                0.71433,                 1.0801,                0.46299,                 1.2417,               0.001189,               0.001189,               0.001189
                     91,                0.64235,                0.31272,                0.94911,                0.95171,                0.94099,                0.97162,                0.70401,                 1.0977,                0.46977,                 1.2754,                0.00109,                0.00109,                0.00109
                     92,                0.64166,                0.31542,                0.94822,                0.95956,                0.93634,                0.96865,                0.70412,                 1.0759,                 0.4652,                 1.2661,               0.000991,               0.000991,               0.000991
                     93,                  0.635,                0.30319,                 0.9557,                0.95551,                0.93634,                0.96783,                 0.7077,                 1.0817,                0.47598,                  1.245,               0.000892,               0.000892,               0.000892
                     94,                0.60705,                0.30277,                0.93361,                0.94914,                0.94049,                0.96832,                0.70792,                 1.0776,                0.48085,                 1.2427,               0.000793,               0.000793,               0.000793
                     95,                 0.6021,                0.29088,                0.93298,                 0.9567,                0.93772,                0.96816,                0.70859,                 1.0806,                0.47438,                 1.2493,               0.000694,               0.000694,               0.000694
                     96,                0.60774,                0.29755,                0.93491,                0.96148,                0.93103,                0.96736,                0.70544,                 1.0901,                0.47555,                 1.2699,               0.000595,               0.000595,               0.000595
                     97,                0.59187,                0.29779,                0.92717,                0.95853,                0.93369,                0.96983,                0.70594,                 1.0881,                0.47047,                 1.2649,               0.000496,               0.000496,               0.000496
                     98,                0.59288,                 0.2966,                0.93119,                0.97223,                0.93103,                 0.9731,                0.70859,                 1.0774,                0.46558,                 1.2491,               0.000397,               0.000397,               0.000397
                     99,                0.58834,                0.28494,                 0.9299,                0.96184,                0.93604,                0.97098,                0.70736,                 1.0759,                0.46276,                 1.2563,               0.000298,               0.000298,               0.000298
