               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 134,            0.014534,           0.0080346,                   0,             0.94542,             0.94164,             0.97189,             0.69078,            0.023756,           0.0087663,                   0,            0.005611,            0.005611,            0.005611
                 135,            0.014401,           0.0077784,                   0,             0.95198,             0.94645,             0.97229,             0.69167,            0.023516,            0.008301,                   0,            0.005578,            0.005578,            0.005578
                 136,            0.014341,           0.0078694,                   0,             0.94211,             0.94962,             0.96564,             0.69587,            0.023041,           0.0086167,                   0,            0.005545,            0.005545,            0.005545
                 137,             0.01416,           0.0079455,                   0,             0.94522,             0.92308,             0.96744,             0.70241,            0.022359,           0.0091131,                   0,            0.005512,            0.005512,            0.005512
                 138,            0.014364,           0.0076432,                   0,             0.94566,             0.92838,             0.96054,             0.69485,            0.022626,           0.0099173,                   0,            0.005479,            0.005479,            0.005479
                 139,            0.014314,           0.0076297,                   0,             0.93991,             0.95421,             0.97467,             0.70437,            0.022937,           0.0085838,                   0,            0.005446,            0.005446,            0.005446
                 140,            0.014026,           0.0078679,                   0,             0.93257,              0.9538,             0.97263,             0.70267,            0.023064,           0.0088898,                   0,            0.005413,            0.005413,            0.005413
                 141,            0.013783,           0.0076939,                   0,             0.94192,             0.94646,             0.96906,             0.69263,            0.023007,           0.0089867,                   0,             0.00538,             0.00538,             0.00538
                 142,            0.013766,           0.0077757,                   0,             0.93743,             0.95756,             0.96655,             0.68836,            0.023367,           0.0085501,                   0,            0.005347,            0.005347,            0.005347
                 143,            0.014129,           0.0076813,                   0,             0.95044,             0.96648,             0.96759,             0.70222,            0.022946,           0.0082612,                   0,            0.005314,            0.005314,            0.005314
                 144,            0.014156,           0.0076937,                   0,             0.94995,             0.95647,             0.97109,             0.70218,            0.022981,           0.0086451,                   0,            0.005281,            0.005281,            0.005281
                 145,            0.014008,           0.0075466,                   0,             0.95889,             0.92799,             0.96582,              0.6919,            0.023097,           0.0094799,                   0,            0.005248,            0.005248,            0.005248
                 146,            0.013782,           0.0073756,                   0,             0.95182,             0.94329,             0.96768,             0.69206,            0.022707,           0.0091779,                   0,            0.005215,            0.005215,            0.005215
                 147,            0.013831,           0.0074528,                   0,             0.93556,             0.96281,              0.9642,             0.68347,            0.023167,            0.008923,                   0,            0.005182,            0.005182,            0.005182
                 148,            0.013427,           0.0075676,                   0,             0.94796,             0.96629,             0.97183,             0.69622,            0.022646,           0.0087808,                   0,            0.005149,            0.005149,            0.005149
                 149,            0.013995,           0.0072535,                   0,             0.94661,             0.96286,             0.97212,             0.70055,            0.022705,           0.0088977,                   0,            0.005116,            0.005116,            0.005116
                 150,            0.014035,           0.0076703,                   0,             0.92803,             0.95773,             0.95827,              0.6908,            0.023168,           0.0087799,                   0,            0.005083,            0.005083,            0.005083
                 151,            0.013232,           0.0071933,                   0,             0.96197,             0.93929,             0.97252,              0.6913,               0.023,           0.0088518,                   0,             0.00505,             0.00505,             0.00505
                 152,            0.013509,           0.0072073,                   0,             0.92797,              0.9568,             0.96646,             0.69244,            0.023037,           0.0092201,                   0,            0.005017,            0.005017,            0.005017
                 153,            0.013458,           0.0075046,                   0,             0.93785,              0.9496,             0.96815,              0.6823,            0.023765,            0.009611,                   0,            0.004984,            0.004984,            0.004984
                 154,            0.013244,           0.0073617,                   0,             0.93949,             0.94728,             0.96928,             0.69608,            0.023431,           0.0093946,                   0,            0.004951,            0.004951,            0.004951
                 155,            0.013913,           0.0076646,                   0,             0.93537,             0.95972,             0.97191,             0.69754,             0.02284,           0.0088116,                   0,            0.004918,            0.004918,            0.004918
                 156,            0.012919,           0.0074349,                   0,             0.92783,             0.95484,             0.97425,             0.70497,             0.02254,            0.008776,                   0,            0.004885,            0.004885,            0.004885
                 157,            0.013864,           0.0075852,                   0,             0.93157,             0.95491,             0.97303,              0.7039,            0.022473,           0.0086155,                   0,            0.004852,            0.004852,            0.004852
                 158,            0.013022,           0.0070977,                   0,             0.93755,             0.95568,             0.97416,             0.69799,            0.022638,           0.0090569,                   0,            0.004819,            0.004819,            0.004819
                 159,            0.012858,           0.0071688,                   0,             0.93484,             0.95756,              0.9695,              0.6992,             0.02243,           0.0090313,                   0,            0.004786,            0.004786,            0.004786
                 160,            0.013353,           0.0074126,                   0,              0.9512,             0.93068,              0.9637,             0.68481,            0.022876,           0.0093471,                   0,            0.004753,            0.004753,            0.004753
                 161,              0.0133,           0.0073628,                   0,             0.93379,              0.9443,             0.96332,             0.68505,            0.022645,            0.009658,                   0,             0.00472,             0.00472,             0.00472
                 162,            0.013453,            0.007069,                   0,             0.93957,             0.94859,             0.96869,             0.69261,            0.022795,            0.009352,                   0,            0.004687,            0.004687,            0.004687
                 163,            0.013169,           0.0075089,                   0,             0.94673,              0.9428,             0.96281,              0.7017,             0.02211,           0.0091874,                   0,            0.004654,            0.004654,            0.004654
                 164,            0.012665,           0.0070105,                   0,             0.94612,             0.93153,             0.96356,             0.69502,            0.022523,           0.0098944,                   0,            0.004621,            0.004621,            0.004621
                 165,             0.01291,           0.0070366,                   0,             0.94316,             0.93369,             0.96285,             0.69146,            0.022694,           0.0096884,                   0,            0.004588,            0.004588,            0.004588
                 166,            0.012948,            0.007073,                   0,             0.92693,             0.95491,             0.96544,             0.69008,            0.022556,           0.0092906,                   0,            0.004555,            0.004555,            0.004555
                 167,            0.013091,           0.0072526,                   0,             0.93333,             0.95491,             0.97206,             0.69108,            0.022809,            0.009111,                   0,            0.004522,            0.004522,            0.004522
